nimi,hind,kategooria,kirjeldus
Davita Gilbart,4.29,Vegan Chocolate Cake Mix,Plant-based mix for a rich chocolate cake.
Horatius Laneham,3.49,Black Bean Soup,"Spicy and flavorful soup made with black beans, perfect as a meal or starter."
Zebulon Stother,29.99,Inflatable Pool Float,Fun inflatable float for lounging in the pool or beach.
Brnaby Faragher,19.99,Measuring Cups Set,Stackable measuring cups made from stainless steel.
Codi Selliman,24.99,Pet Food Storage Container,Airtight container to keep pet food fresh.
Lynett Connerry,39.99,Infrared Thermometer,Non-contact thermometer for checking temperatures instantly.
Charlene Sheircliffe,4.99,Oven-Baked Parmesan Zucchini,"Frozen zucchini slices coated in parmesan cheese, perfect for baking or frying."
Aleda Lavin,1.99,Raspberry Limeade,Sweet and tangy raspberry lime beverage
Maximilianus Kineton,2.49,Pepper Jack Cheese Sticks,"A spicy, flavorful cheese stick great for snacks or lunchboxes."
Cheston Senussi,9.99,Smartphone Hand Grip,Sturdy grip to hold your phone securely while taking selfies.
